"","time","country","confirm","cum_heal","cum_dead"
"137",2020-06-06,"South Korea",11719,10531,273
"138",2020-06-07,"South Korea",11776,10552,273
"139",2020-06-08,"South Korea",11814,10563,273
"140",2020-06-09,"South Korea",11852,10589,274
"141",2020-06-10,"South Korea",11902,10611,276
"142",2020-06-11,"South Korea",11947,10654,276
"143",2020-06-12,"South Korea",12003,10669,277
"144",2020-06-13,"South Korea",12051,10691,277
"145",2020-06-14,"South Korea",12085,10718,277
"146",2020-06-15,"South Korea",12121,10730,277
"147",2020-06-16,"South Korea",12155,10760,278
"148",2020-06-17,"South Korea",12198,10774,279
"149",2020-06-18,"South Korea",12257,10800,280
"150",2020-06-19,"South Korea",12306,10835,280
"151",2020-06-20,"South Korea",12373,10856,280
"152",2020-06-21,"South Korea",12421,10868,280
"153",2020-06-22,"South Korea",12438,10881,280
"154",2020-06-23,"South Korea",12484,10908,281
"155",2020-06-24,"South Korea",12535,10908,281
"156",2020-06-25,"South Korea",12563,10974,282
"157",2020-06-26,"South Korea",12602,11172,282
"158",2020-06-27,"South Korea",12653,11317,282
"159",2020-06-28,"South Korea",12715,11364,282
"160",2020-06-29,"South Korea",12757,11429,282
"161",2020-06-30,"South Korea",12800,11537,282
