date,examcnt,spread,policy,cnt
2020-08-19,17725,2.55,2,97
2020-08-20,18731,2.614,2,104
2020-08-21,19716,2.488,2,97
2020-08-22,21345,3.247,2,119
2020-08-23,14989,1.961,2,73
2020-08-24,12970,1.684,2,62
2020-08-25,21135,2.357,2,82
2020-08-26,23349,2.858,2,94
2020-08-27,19632,2.977,2,121
2020-08-28,17767,2.048,2,96
2020-08-29,21289,2.365,2,83
2020-08-30,14542,1.538,2.5,64
2020-08-31,13271,1.409,2.5,58
2020-09-01,21156,2.346,2.5,84
2020-09-02,20948,1.854,2.5,63
2020-09-03,20062,1.434,2.5,51
2020-09-04,18156,0.992,2.5,43
2020-09-05,17971,1.286,2.5,46
2020-09-06,8723,0.772,2.5,29
2020-09-07,5243,0.936,2.5,36
2020-09-08,14645,1.216,2.5,44
2020-09-09,16000,1.21,2.5,50
2020-09-10,17202,1.186,2.5,47
2020-09-11,19444,0.767,2.5,26
2020-09-12,16110,0.737,2.5,28
2020-09-13,7692,0.907,2.5,29
2020-09-14,7623,0.78,2,31
2020-09-15,13470,0.705,2,24
